area_era_m2,id_building,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,area_facade_m2,area_roof_solar_m2,temperature_interior_C,ratio,status,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,thermal_transmittance_signature_kW_m2_K
3440.0,1,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.00069425091694126
3440.0,2,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007022478532264019
3440.0,3,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006691741926135017
3440.0,4,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007420986356117097
3440.0,5,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006972840749190812
3440.0,6,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007338348540206611
3440.0,7,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007377093038855806
3440.0,8,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006806143793980249
3440.0,9,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007143478460657348
3440.0,10,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006895709710403001
3440.0,11,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006710930273192712
3440.0,12,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007229320681001765
3440.0,13,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.000724672623635035
3440.0,14,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006625829478345404
3440.0,15,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006310399598908752
3440.0,16,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007843527184483313
3440.0,17,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006929838387479674
3440.0,18,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.000729621571164895
3440.0,19,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006966026872219776
3440.0,20,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.000690550732327284
3440.0,21,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007364187279073563
3440.0,22,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.000689918135338328
3440.0,23,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006944177488561884
3440.0,24,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007097897661594517
3440.0,25,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006939496921394298
3440.0,26,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007393789803631236
3440.0,27,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007171005393663925
3440.0,28,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006893609558044137
3440.0,29,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0006063757540578963
3440.0,30,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007638189438789643
3440.0,31,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0007263286759495332
3440.0,32,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.000681898846886528
1720.0,33,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.00138850183388252
1720.0,34,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0014044957064528038
1720.0,35,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013383483852270033
1720.0,36,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0014841972712234194
1720.0,37,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013945681498381624
1720.0,38,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0014676697080413222
1720.0,39,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0014754186077711611
1720.0,40,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013612287587960498
1720.0,41,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0014286956921314696
1720.0,42,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013791419420806001
1720.0,43,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013421860546385424
1720.0,44,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.001445864136200353
1720.0,45,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.00144934524727007
1720.0,46,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.001325165895669081
1720.0,47,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0012620799197817505
1720.0,48,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0015687054368966626
1720.0,49,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013859676774959349
1720.0,50,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.00145924314232979
1720.0,51,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013932053744439552
1720.0,52,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.001381101464654568
1720.0,53,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0014728374558147126
1720.0,54,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.001379836270676656
1720.0,55,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.001388835497712377
1720.0,56,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0014195795323189034
1720.0,57,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013878993842788595
1720.0,58,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0014787579607262473
1720.0,59,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.001434201078732785
1720.0,60,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0013787219116088273
1720.0,61,12.0,17.0,65.0,50.0,848.0,472.0,20.0,1.0,[existing],I,0.07,119.4,0.0012127515081157927
